,local_ppl_cnt,vx,vy
0,0,6.123233995736766e-17,1.0
1,0,6.123233995736766e-17,1.0
2,1,6.123233995736766e-17,1.0
3,1,6.123233995736766e-17,1.0
4,1,6.123233995736766e-17,1.0
5,1,6.123233995736766e-17,1.0
6,2,6.123233995736766e-17,1.0
7,2,6.123233995736766e-17,1.0
8,3,6.123233995736766e-17,1.0
9,3,6.123233995736766e-17,1.0
10,4,6.123233995736766e-17,1.0
11,5,6.123233995736766e-17,1.0
12,5,6.123233995736766e-17,1.0
13,5,6.123233995736766e-17,1.0
14,4,6.123233995736766e-17,1.0
15,4,-1.6081226496766364e-16,1.0
16,4,6.123233995736766e-17,1.0
